Name,Medals,Sport,region
Robert Tait McKenzie,58 🏅,Art Competitions,Canada
Heikki Ilmari Savolainen,39 🏅,Gymnastics,Finland
"Joseph ""Josy"" Stoffel",38 🏅,Gymnastics,Luxembourg
Ioannis Theofilakis,36 🏅,Shooting,Greece
Takashi Ono,33 🏅,Judo,Japan
Takashi Ono,33 🏅,Gymnastics,Japan
Alfrd (Arnold-) Hajs (Guttmann-),32 🏅,Swimming,Hungary
Alfrd (Arnold-) Hajs (Guttmann-),32 🏅,Art Competitions,Hungary
Jean Lucien Nicolas Jacoby,32 🏅,Art Competitions,Luxembourg
Alexandros Theofilakis,32 🏅,Shooting,Greece
Andreas Wecker,32 🏅,Gymnastics,Germany
"Alfred August ""Al"" Jochim",31 🏅,Gymnastics,USA
Michel Mathiot,31 🏅,Gymnastics,France
"Johann ""Hans"" Sauter",31 🏅,Gymnastics,Austria
Alfred James Munnings,31 🏅,Art Competitions,UK
